	Gene	BST_2_cut1	BST_5_cut1	BST_6_cut1	BST_7_cut1	BST_8_cut1	BST_9_cut1	BST_10_cut1	BST_11_cut1	BST_12_cut1	BST_13_cut1	BST_15_cut1	BST_16_cut1	BST_17_cut1	BST_20_cut1	BST_22_cut1	BST_23_cut1	BST_26_cut1	BST_27_cut1	BST_28_cut1	BST_30_cut1	BST_31_cut1	BST_32_cut1	BST_33_cut1	BST_35_cut1	BST_36_cut1	BST_37_cut1	BST_38_cut1	BST_39_cut1	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	hsa-let-7a-3p&NA&iso-21-4L2MUYWZD	4.60143964488476	5.1203608472323	1.67016341640138	4.96234525426688	16.4580708949098	4.97671701133243	3.73486245971992	4.04359566607378	2.4150594662424	5.42320110402074	6.4905319930565	6.62159876814303	5.81677542134606	4.52401226193408	8.03270353240386	2.00024590795275	2.50984041763851	9.5654664488776	6.020006020521	7.72668184549439	7.32486090279861	2.04278761049055	6.03400771395945	0	0	3.50290430914442	6.76792488563854	1.95411121210647	5.01215267916394	0.0259458405096062	0.093220786980795	0.268379074398828	NA
2	hsa-let-7a-3p&iso_3p:+1&iso-22-4L2MUYWZJ	4.60143964488476	2.04814433889292	0.835081708200689	3.8596018644298	8.22903544745492	4.97671701133243	4.48183495166391	4.04359566607378	4.8301189324848	3.61546740268049	2.5962127972226	2.83782804348987	3.63548463834129	0	4.59011630423078	0	1.25492020881926	1.06282960543084	5.0166716837675	11.1607626657141	4.57803806424913	2.04278761049055	2.46845770116523	0	1.44578401327866	0.700580861828885	0	1.95411121210647	3.10234365636549	0.054496217502724	0.114244685943014	0.0128963143544712	NA
3	hsa-let-7a-3p&iso_3p:+2&iso-23-4L2MUYWZD3	1.15035991122119	2.04814433889292	0	0	0	1.65890567044414	1.49394498388797	0	3.6225891993636	1.80773370134025	1.2981063986113	0	0.727096927668258	1.50800408731136	1.14752907605769	3.00036886192912	0	0	2.006668673507	0	0.915607612849827	3.06418141573583	0	2.33244854181175	0	1.05087129274333	0	0	1.0297343104777	0.00483932480700569	0.0906671050304449	0.663380040010177	NA
4	hsa-let-7a-3p&iso_3p:-1&iso-20-4L2MUYWZ	1.15035991122119	8.19257735557168	2.50524512460207	8.82194711869668	2.74301181581831	2.48835850566622	5.22880744360789	6.46975306571805	7.24517839872721	4.51933425335062	6.4905319930565	3.78377072465316	9.45226005968735	4.52401226193408	4.59011630423078	6.00073772385825	5.01968083527702	5.31414802715422	7.02334035727451	2.5755606151648	4.57803806424913	3.06418141573583	8.50246541512468	2.33244854181175	0	6.65551818737441	4.51194992375903	1.95411121210647	4.84776588055114	-0.00193049082658364	0.0877695655930883	0.935539905578597	NA
5	hsa-let-7a-3p&iso_3p:-2&iso-19-4L2MUYJQ	3.45107973366357	2.04814433889292	0	2.20548677967417	0	0	0	1.61743826642951	0	2.71160055201037	1.2981063986113	2.83782804348987	2.18129078300477	1.50800408731136	4.59011630423078	4.0004918159055	1.25492020881926	4.25131842172338	0	0.858520205054933	4.57803806424913	0	1.37136538953624	2.33244854181175	0	1.75145215457221	0	1.95411121210647	1.6714914750392	-0.0122539542791193	0.0911829740770118	0.397590466090222	NA
6	hsa-let-7a-3p&iso_3p:-3&iso-18-4L2MUY03	0	3.07221650833938	2.50524512460207	3.8596018644298	5.48602363163661	1.65890567044414	5.22880744360789	0.808719133214756	4.8301189324848	2.71160055201037	5.1924255944452	6.62159876814303	0.727096927668258	1.50800408731136	1.14752907605769	0	1.25492020881926	1.06282960543084	0	1.71704041010987	1.83121522569965	3.06418141573583	2.19418462325798	1.16622427090587	1.44578401327866	1.75145215457221	0	3.90822242421295	2.31264098808637	0.015558800518248	0.0913849059482254	0.368666994715858	NA
7	hsa-let-7a-3p&iso_add3p:1&iso-21-4L2MUYWZE	0	0	0	0	0	0	0.746972491943984	0	0	2.71160055201037	1.2981063986113	0	0	4.52401226193408	0	0	0	1.06282960543084	2.006668673507	0.858520205054933	0	1.02139380524528	0.548546155814495	2.33244854181175	0	0	0	1.95411121210647	0.680900353695375	0.00362555746077706	0.0909038111108339	0.65126954747945	NA
8	hsa-let-7a-3p&iso_add3p:1&iso-22-4L2MUYWZ3	25.3079180468662	24.577732066715	20.0419609968165	18.7466376272304	28.8016240660922	16.5890567044414	39.5895420730312	26.6877313960869	15.6978865305756	27.1160055201037	46.7318303500068	23.6485670290822	16.7232293363699	18.0960490477363	28.6882269014423	8.000983631811	15.0590425058311	13.816784870601	20.06668673507	14.5948434859339	10.9872913541979	14.2995132734339	19.7476616093218	25.6569339599292	11.5662721062293	30.124977058642	9.02389984751805	17.5870009089583	20.9848531800027	0.00408437232707959	0.08447605599938	0.900488368120682	0.976037929206204
9	hsa-let-7a-5p&NA&iso-22-XKVLRYVPQ	3965.29061397944	2567.34892880228	4577.08284264797	4885.7045886732	2166.97933449646	4237.67453514957	2955.77015062235	8320.91116164663	4938.79660846571	3061.39702321971	2680.58971313234	4414.71449298907	5744.06572857924	4459.16808617969	4683.06615939145	4124.50706219857	4790.0304370631	3629.56310254633	2979.9029801579	3813.54675085401	2493.19952979008	4036.54831832934	2882.88432188308	4198.40737526114	4992.2921978512	3253.14723190243	4457.80652467392	3667.86674512385	4034.9379480575	-0.0628961428664387	0.0995058146649407	0.20265445147633	0.634528449024777
10	hsa-let-7a-5p&iso_3p:+1&iso-23-XKVLRYVP0Q	144.94534881387	119.816443825236	182.04781238775	273.480360679597	61.7177658559119	237.223510873513	139.683855993525	441.560646735257	247.543595289846	78.6364160083007	115.531469476406	209.053332537087	264.663281671246	147.784400556513	177.867006788943	129.015861062952	326.279254293006	147.733315154887	112.373445716392	127.06099034813	71.4173938022865	191.000641580867	139.604996654789	225.081284284834	241.445930217536	135.212106332975	209.805671454795	171.96178666537	181.055283037922	-0.0388583459247915	0.0949316635946591	0.248178390772063	0.675572159100794
