	Gene	BST_2_cut1	BST_5_cut1	BST_6_cut1	BST_7_cut1	BST_8_cut1	BST_9_cut1	BST_10_cut1	BST_11_cut1	BST_12_cut1	BST_13_cut1	BST_15_cut1	BST_16_cut1	BST_17_cut1	BST_20_cut1	BST_22_cut1	BST_23_cut1	BST_26_cut1	BST_27_cut1	BST_28_cut1	BST_30_cut1	BST_31_cut1	BST_32_cut1	BST_33_cut1	BST_35_cut1	BST_36_cut1	BST_37_cut1	BST_38_cut1	BST_39_cut1	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	hsa-let-7a-3p&NA&iso-21-4L2MUYWZD	7.11037784625183	13.3683820730561	2.47258461970371	9.23649186609099	32.6603103004388	10.8147345183264	8.08089158531883	9.55221732449016	5.98220054939778	10.1050022067967	12.6267366289758	16.9116740959376	10.4590628579198	6.07610503141375	15.9436769037253	3.05617868356159	8.73188396550952	17.3397942661854	10.0298073143819	17.9861269372015	11.0147781965487	4.01865387007183	15.6925746897905	0	0	6.67383405571848	9.05008034119194	1.90885781257747	9.88939351930651	0.0351356168334511	0.108706251738321	0.223124732119253	0.656203876152687
2	hsa-let-7a-3p&iso_3p:+1&iso-22-4L2MUYWZJ	10.6655667693777	6.17002249525665	4.12097436617285	5.43323050946529	10.8867701001463	6.65522124204703	9.55014460083134	11.1442535452385	5.98220054939778	8.26772907828819	6.31336831448789	4.69768724887156	7.47075918422842	1.51902625785344	9.11067251641447	0	2.49482399014558	5.41868570818294	6.01788438862912	17.9861269372015	9.17898183045727	5.02331733758979	4.12962491836591	4.66975950619679	4.33655185101103	1.40501769594073	0	5.72657343773242	6.2276776564118	0.0486787278216054	0.11595742282553	0.118708785150321	NA
3	hsa-let-7a-3p&iso_3p:+2&iso-23-4L2MUYWZD3	1.1850629743753	2.05667416508555	0	0.543323050946529	0	1.66380531051176	2.20387952326877	0	3.58932032963867	1.83727312850849	1.26267366289758	0	0.747075918422842	1.51902625785344	3.41650219365543	4.07490491141546	1.24741199507279	0	4.01192292575275	0	1.83579636609145	3.01399040255387	0	2.33487975309839	0	1.05376327195555	0	0	1.34276021932516	0.017469632828007	0.105515197682113	0.258140887675822	NA
4	hsa-let-7a-3p&iso_3p:-1&iso-20-4L2MUYWZ	13.0356927181284	21.5950787333983	4.12097436617285	16.2996915283959	6.80423131259141	4.15951327627939	11.7540241241001	11.1442535452385	10.767960988916	12.8609118995594	12.6267366289758	11.2744493972917	16.4356702053025	7.59513128926718	13.6660087746217	14.2621671899541	4.98964798029115	15.1723199829122	13.0387495086964	10.277786821258	10.096880013503	8.03730774014366	15.9678830176815	2.33487975309839	0	11.2401415675259	15.8376405970859	3.81771562515495	10.6861945923409	-0.00602576845129442	0.0984759519496691	0.856162476421788	0.964943632067139
5	hsa-let-7a-3p&iso_3p:-2&iso-19-4L2MUYJQ	5.92531487187652	4.1133483301711	2.47258461970371	3.8032613566257	1.36084626251828	0.831902655255878	1.46925301551251	2.38805433112254	1.19644010987956	6.4304559497797	1.26267366289758	6.57676214842018	2.98830367369137	9.11415754712062	9.11067251641447	10.1872622785386	6.23705997536394	7.58615999145611	1.00298073143819	4.28241117552416	7.34318546436581	3.01399040255387	3.57900826258379	5.83719938274598	0	3.16128981586665	2.26252008529798	7.6354312503099	4.3275903523941	-0.00677881062345864	0.101462071224078	0.788147002654483	NA
6	hsa-let-7a-3p&iso_3p:-3&iso-18-4L2MUY03	0	5.14168541271387	6.59355898587656	7.06319966230487	5.44338505007313	4.99141593153527	10.2847711085876	2.38805433112254	5.98220054939778	5.51181938552546	6.31336831448789	11.2744493972917	2.24122775526853	3.03805251570687	2.27766812910362	0	4.98964798029115	2.16747428327317	0	4.28241117552416	2.75369454913718	6.02798080510775	6.05678321360334	2.33487975309839	7.22758641835172	3.51254423985183	2.26252008529798	5.72657343773242	4.49596258822374	0.0179674610990105	0.103121706466179	0.497752880507218	NA
7	hsa-let-7a-3p&iso_add3p:1&iso-21-4L2MUYWZE	0	0	0	0	0	0	2.20387952326877	0.79601811037418	0	3.67454625701697	2.52534732579516	0	0	6.07610503141375	0	0	0	1.08373714163659	2.00596146287637	2.5694467053145	0	1.00466346751796	0.550616655782122	2.33487975309839	1.44551728367034	1.05376327195555	0	3.81771562515495	1.11222134338841	0.00319250919247715	0.103865178340637	0.796895321365699	NA
8	hsa-let-7a-3p&iso_add3p:1&iso-22-4L2MUYWZ3	55.6979597956393	49.3601799620532	37.9129641687902	36.945967464364	68.0423131259141	43.2589380733057	66.8510122058194	59.7013582780635	23.9288021975911	57.8741035480173	88.3871564028305	31.9442732923266	35.1125681658736	25.8234463835084	74.0242141958676	33.6179655191775	19.9585919211646	26.0096913992781	41.1222099889657	39.3981828148223	20.193760027006	40.1865387007183	41.8468658394413	40.8603956792219	26.0193111060662	51.9856547498071	22.6252008529798	34.3594406263945	42.6088952316074	0.00593000547248774	0.0942085165791247	0.88661733391584	0.98213472089751
9	hsa-let-7a-5p&NA&iso-22-XKVLRYVPQ	8180.48971211273	5173.5638622727	9222.74063149484	9631.48772412912	4383.28581157138	8505.3727473361	5852.7693872941	16614.4899997299	9847.89854441863	6192.52907963785	5069.63475653378	8659.71667456983	11829.2000923073	8865.03724083266	9397.65870068153	8363.74233068023	9378.04337895722	7440.93921447681	6106.14669299568	7545.60849127358	4861.18877741017	7835.37038317255	5812.30941843608	8483.78558288301	9929.2582215316	6551.94877059563	9007.09245957128	7058.9561909115	8064.29517420778	-0.0574189217752065	0.100605335657577	0.197873477465692	0.636856938675642
10	hsa-let-7a-5p&iso_3p:+1&iso-23-XKVLRYVP0Q	292.7105546707	222.120809829239	352.755405744396	524.850067214347	100.702623426353	460.042168356501	285.769711517184	865.271685976734	500.111965929655	148.819123409187	209.603828040998	394.605728905211	537.147585346023	293.172067765713	361.010398462924	266.906271697713	617.46893756103	307.781348224791	213.634895796334	234.676132418724	146.863709287316	390.814088864486	288.247819301941	463.473630990031	485.693807313236	260.279528173021	402.728575183041	370.31841564003	357.056460180245	-0.0583862223850711	0.114688220097397	0.183130775722517	0.613785127097892
