soft,version_cmd,get_version,min_version,soft_name
fastqc,-v,FastQC.*v([0-9\.]+).*,0.11.4,fastqc
cutadapt,--version,([0-9\.]+),2.10,cutadapt
multiqc,--version,([0-9\.]+),1.8,multiqc
