	Gene	SRR7218579	SRR7218580	SRR7218581	SRR7218582	SRR7218583	SRR7218584	SRR7218585	SRR7218586	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	hsa-let-7a-5p&iso_3p:-1&iso-21-XKVLRYVPE	2.96063330346663	6.74517194725607	2.27551463801053	0	3.72591425369088	7.94800243107744	25.6340617259222	23.9333517847677	9.15283126052393	-1.38211409877428	1.03499462586584	0.0220868710210457	0.0948936321154892
2	hsa-let-7a-5p&iso_3p:-2&iso-20-XKVLRYVP	4.44094995519994	3.70984457099084	0	0	5.08079216412392	9.9350030388468	13.1456726799601	17.551124642163	6.73292338141057	-1.28940324651578	1.04131064927038	0.0297542779392422	0.100521209254197
3	hsa-let-7b-5p&iso_3p:-1&iso-21-XKVLRY98E	44.4094995519994	50.5887896044205	9.10205855204211	7.67045884487023	52.5015190292806	79.4800243107744	164.978192133499	186.680143921188	74.4263357435093	-1.51650706149826	0.748977145011631	0.00597393327879461	0.0564422116652268
4	hsa-let-7b-5p&iso_3p:-2&iso-20-XKVLRY98	0	2.02355158417682	2.27551463801053	0	2.70975582086609	3.97400121553872	13.1456726799601	6.38222714260472	3.81384038514462	-0.669913140638924	0.902063796069152	0.125122570601211	NA
5	hsa-let-7b-5p&iso_3p:-3&iso-19-XKVLRYK0	0	4.38436176571644	0	0	1.35487791043305	5.96100182330808	5.25826907198404	1.59555678565118	2.3192584196366	-0.237747104753752	0.717185656690685	0.491032724212394	NA
6	hsa-let-7b-5p&iso_add3p:1&iso-22-XKVLRY98P	0	0.337258597362803	0	0	0.677438955216523	0	4.60098543798604	0	0.701960373820671	-0.20011730410559	0.777440899872278	0.439553223143111	NA
7	hsa-let-7b-5p&iso_add3p:2&iso-24-XKVLRY98KI	0	1.01177579208841	0	0	2.03231686564957	0	14.4602399479561	6.38222714260472	2.98581996853735	-0.757435724365081	1.11556371407246	0.0775144140121118	NA
8	hsa-let-7b-5p&iso_snv_seed,iso_3p:-1&iso-21-9KVLRY98E	0	1.34903438945121	0	0	1.35487791043305	0	0.657283633998005	1.59555678565118	0.619594089941681	0.0411672643477917	0.736037365735772	0.867589575380115	NA
9	hsa-let-7d-5p&iso_3p:-1&iso-21-FKVLRYJPE	0	2.36081018153962	0	0	0.338719477608262	1.98700060776936	5.25826907198404	4.78667035695354	1.84143371198185	-0.43708328288275	0.836642825596555	0.218391607680488	NA
10	hsa-let-7f-5p&iso_3p:-1&iso-21-XKVL5YVPE	1.48031665173331	5.73339615516766	0	0	1.01615843282479	3.97400121553872	19.7185090199402	11.1688974995583	5.38640987184536	-1.06178134417924	1.1579360381396	0.0510746108614575	NA
11	hsa-let-7f-5p&iso_3p:-2&iso-20-XKVL5YVP	4.44094995519994	1.68629298681402	0	0	1.35487791043305	1.98700060776936	3.94370180398803	14.3600110708606	3.47160429188313	-1.43972438447693	1.39981325746417	0.0256415692218679	NA
12	hsa-let-7g-5p&iso_3p:-1&iso-21-XKVL7YUPE	11.8425332138665	20.2355158417682	9.10205855204211	0	14.9036570147635	31.7920097243098	44.6952871118644	49.4622603551866	22.7541652267251	-0.978240527750092	0.815634786878556	0.0531022041382054	0.140989235441353
13	hsa-let-7g-5p&iso_3p:-2&iso-20-XKVL7YUP	5.92126660693326	2.69806877890243	0	0	0.677438955216523	1.98700060776936	2.62913453599202	6.38222714260472	2.53689207842729	-0.669937130396209	0.946491090104202	0.119339579225521	NA
14	hsa-let-7g-5p&iso_snv_seed,iso_3p:-1&iso-21-98VL7YUPE	0	1.34903438945121	0	0	1.01615843282479	0	1.31456726799601	1.59555678565118	0.659414609490399	-0.0217581464278243	0.731254836173787	0.9435156887132	NA
15	hsa-let-7i-5p&iso_3p:-1&iso-21-XKVL7YXYE	51.811082810666	44.51813485189	15.9286024660737	7.67045884487023	46.0658489547236	95.3760291729293	88.0760069557327	41.4844764269307	48.866330060477	-0.873387768460873	0.620403905629553	0.0543397751146088	0.140989235441353
16	hsa-let-7i-5p&iso_3p:-2&iso-20-XKVL7YXY	13.3228498655998	12.4785681024237	4.55102927602105	2.55681961495674	23.3716439549701	29.8050091165404	13.1456726799601	28.7200221417212	15.9939518440241	-0.501373669545867	0.615889638714469	0.236834439437877	0.344236103834123
17	hsa-let-7i-5p&iso_3p:-3&iso-19-XKVL7YJW	8.88189991039988	10.1177579208841	4.55102927602105	1.27840980747837	17.6134128356296	49.675015194234	26.9486289939182	70.2044985686519	23.6588315634021	-1.60162810989491	0.854709105805419	0.00720421735390036	0.0600351446158364
18	hsa-let-7i-5p&iso_add3p:1&iso-22-XKVL7YXYP	0	2.36081018153962	2.27551463801053	0	0.677438955216523	1.98700060776936	9.20197087597208	4.78667035695354	2.66117570193271	-0.507261421906604	0.841504197544941	0.184900814254388	NA
19	hsa-let-7i-5p&iso_add3p:2&iso-22-XKVL7YXYH	2.96063330346663	1.68629298681402	0	0	2.03231686564957	1.98700060776936	1.97185090199402	3.19111357130236	1.72865102962449	-0.289234072711016	0.735942479999611	0.407889514514906	NA
20	hsa-let-7i-5p&iso_add3p:2&iso-24-XKVL7YXYKI	2.96063330346663	0.337258597362803	0	0.639204903739186	0	1.98700060776936	4.60098543798604	0	1.3156353562905	-0.59868373070942	1.02350530947903	0.0868406320371895	NA
21	hsa-miR-100-5p&iso_3p:-2&iso-20-BRS28UEY	0	1.68629298681402	0	0.639204903739186	2.70975582086609	0	1.31456726799601	0	0.793727622426913	0.198132264062462	0.762436353880808	0.51948818322636	NA
