	Gene	SRR7218579	SRR7218580	SRR7218581	SRR7218582	SRR7218583	SRR7218584	SRR7218585	SRR7218586	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	hsa-let-7a-5p&iso_3p:-1&iso-21-XKVLRYVPE	3.05114966907247	7.09988807102812	2.58141536677456	0	3.42984955457846	7.31503612346869	25.5083649104552	21.3133843558726	8.78738600640626	-1.28374860530413	1.00896549500677	0.0318958162523004	0.118569229981378
2	hsa-let-7a-5p&iso_3p:-2&iso-20-XKVLRYVP	4.57672450360871	3.36310487575016	0	0	5.14477433186769	9.14379515433586	12.4094748213025	13.7014613716324	6.04241688231217	-1.1516496248091	1.00201907778677	0.0476326104959157	0.150836599903733
3	hsa-let-7b-5p&iso_3p:-1&iso-21-XKVLRY98E	44.2416702015509	51.5676080948359	10.3256614670982	6.52502766128169	43.2161043876886	69.4928431729525	149.60311312348	162.895151862741	67.2333974964536	-1.48259054774068	0.731513588158914	0.00718462630725788	0.0514832255268522
4	hsa-let-7b-5p&iso_3p:-3&iso-19-XKVLRYK0	0	4.85781815386135	0	0	1.37193982183138	5.48627709260151	5.51532214280112	1.52238459684804	2.34421772599293	-0.220155995583514	0.743880835609003	0.557286166808849	NA
5	hsa-let-7b-5p&iso_add3p:1&iso-22-XKVLRY98O	1.52557483453624	2.98942655622237	0	0.652502766128169	6.17372919824123	3.65751806173434	14.4777206248529	9.13430758108826	4.82634745285044	-0.616098400224596	0.809677062087081	0.191764835697421	0.341581113586031
6	hsa-let-7b-5p&iso_add3p:2&iso-24-XKVLRY98KI	0	1.12103495858339	0	0	2.05790973274708	0	13.7883053570028	6.08953838739217	2.88209855446568	-0.730876789401309	1.08077137552421	0.102965464988879	NA
7	hsa-let-7d-5p&iso_3p:-1&iso-21-FKVLRYJPE	0	2.61574823669457	0	0	0.342984955457846	1.82875903086717	4.82590687495098	4.56715379054413	1.77256911106434	-0.400501353916705	0.842279660932809	0.289881486382026	NA
8	hsa-let-7f-5p&iso_3p:-1&iso-21-XKVL5YVPE	1.52557483453624	5.23149647338914	0	0	1.02895486637354	3.65751806173434	18.6142122319538	10.6566921779363	5.08930608074042	-1.12255696048759	1.16651713834131	0.0526426114316758	0.163670664633028
9	hsa-let-7f-5p&iso_3p:-2&iso-20-XKVL5YVP	4.57672450360871	1.86839159763898	0	0	1.37193982183138	1.82875903086717	4.13649160710084	12.1790767747843	3.24517291697893	-1.21522679177832	1.27775680639992	0.0434269052585019	0.145143601282693
10	hsa-let-7g-5p&iso_3p:-1&iso-21-XKVL7YUPE	10.6790238417537	21.6733425326122	10.3256614670982	0	14.4053681292295	27.4313854630076	41.3649160710084	47.1939225022894	21.6342025008749	-0.8436780101034	0.775336672286061	0.0912657995746147	0.219809179257171
11	hsa-let-7g-5p&iso_3p:-2&iso-20-XKVL7YUP	6.10229933814495	1.49471327811118	0	0	0	1.82875903086717	2.06824580355042	6.08953838739217	2.19794447975824	-1.04255226852457	1.4506623692823	0.0481025216149365	NA
12	hsa-let-7g-5p&iso_add3p:1&iso-22-XKVL7YUPO	1.52557483453624	0.747356639055592	0	0	0.685969910915692	1.82875903086717	2.75766107140056	0	0.943165185846906	-0.302373580084893	0.829690298273843	0.375003788217282	NA
13	hsa-let-7i-5p&iso_3p:-1&iso-21-XKVL7YXYE	47.2928198706233	31.3889788403349	12.9070768338728	7.17753042740986	38.7572999667366	80.4653973581555	45.5014076781092	28.9253073401128	36.5519772894194	-0.782383376163045	0.605016510344101	0.0863669735868061	0.214039891062954
14	hsa-let-7i-5p&iso_3p:-2&iso-20-XKVL7YXY	10.6790238417537	12.7050628639451	5.16283073354911	1.95750829838451	20.9220822829286	21.9451083704061	10.3412290177521	21.3133843558726	13.128278720574	-0.311213761742995	0.595829891886152	0.465497354169838	0.605878823154661
15	hsa-let-7i-5p&iso_3p:-3&iso-19-XKVL7YJW	9.15344900721742	11.2103495858339	5.16283073354911	1.30500553225634	17.835217683808	43.8902167408121	28.2660259818557	63.9401530676178	22.5954060416188	-1.44054042532995	0.825220702035327	0.0130478087043387	0.0765855324883145
16	hsa-let-7i-5p&iso_add3p:1&iso-22-XKVL7YXYO	3.05114966907247	15.6944894201674	2.58141536677456	0.652502766128169	6.17372919824123	7.31503612346869	42.7437466067087	6.08953838739217	10.5377009422442	-0.563500152989746	0.753675341239146	0.222257642022084	0.361024735503242
17	hsa-let-7i-5p&iso_add3p:1&iso-22-XKVL7YXYP	0	2.61574823669457	2.58141536677456	0	0.342984955457846	1.82875903086717	8.27298321420168	4.56715379054413	2.52613057431749	-0.455541237822847	0.842336483565005	0.244117710445118	NA
18	hsa-let-7i-5p&iso_add3p:2&iso-24-XKVL7YXYKI	3.05114966907247	0.373678319527796	0	0.652502766128169	0	1.82875903086717	3.4470763392507	0	1.16914576560579	-0.521751184068965	0.973262834642582	0.145173836615935	NA
19	hsa-miR-101-3p&iso_5p:-1&iso-22-SFSI7EBYF	1.52557483453624	4.11046151480576	0	2.61001106451268	1.02895486637354	3.65751806173434	7.58356794635154	4.56715379054413	3.13540525985728	-0.393728603640352	0.736432308271453	0.359262951118016	NA
20	hsa-miR-103a-3p&NA&iso-23-FPJYUP6X0L	6.10229933814495	11.2103495858339	0	1.30500553225634	4.458804420952	12.8013132160702	11.7200595534524	10.6566921779363	7.28181547808076	-0.572519997723824	0.714301478571103	0.218770499108256	0.361024735503242
